DEPARTAMENTO,ÁREA,SEXO,Total personas de 5 y más años,,,,Uso de computador por tipo de dispositivo,,,,,,,,,,,,,,,Usó computador** en cualquier lugar,,,,,Usó Internet en cualquier lugar y desde cualquier dispositivo,,,,,Usó teléfono celular en cualquier lugar,,,,,Escuchó la señal de radio dentro del hogar,,,,,Usó telefono celular y no tiene celular,,,,,Tiene teléfono celular,,,,,Tenencia de teléfono celular por tipo de dispositivo,,,,,,,,,,,,,
,,,,,,,Usó computador de escritorio en cualquier lugar,,,,,Usó computador portátil en cualquier lugar,,,,,Usó tableta en cualquier lugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tiene teléfono celular convencional,,,,,Tiene teléfono celular inteligente (smartphone),,,,,Tiene teléfono celular convencional e inteligente (smartphone),,,
,,,TOTAL,IC+- b/,Cve c/,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción
",,MUJER,3.427 ,24,""0,4%"",,564,70,""6,3%"",""16,5"",,813,90,""5,6%"",""23,7"",,139,33,""12,1%"",""4,0"",,1.145,102,""4,6%"",""33,4"",,2.789,49,""0,9%"",""81,4"",,3.176,41,""0,7%"",""92,7"",,1.598,87,""2,8%"",""46,6"",,329 ,""34,8"",""5,4%"",""9,6"",,2.847,40,""0,7%"",""83,1"",,192,27,""7,2%"",""5,6"",,2.655,46,""0,9%"",""77,5"",,0,1,""73,4%"",""0,0"""
",CABECERA,TOTAL,5.362 ,33,""0,3%"",,957,129,""6,9%"",""17,9"",,1.454,177,""6,2%"",""27,1"",,221,59,""13,5%"",""4,1"",,1.984,194,""5,0%"",""37,0"",,4.489,92,""1,0%"",""83,7"",,4.964,58,""0,6%"",""92,6"",,2.443,145,""3,0%"",""45,6"",,469 ,""58,4"",""6,4%"",""8,7"",,4.495,74,""0,8%"",""83,8"",,281,42,""7,6%"",""5,2"",,4.218,84,""1,0%"",""78,7"",,3,3,""56,6%"",""0,1"""
",,HOMBRE,2.536 ,25,""0,5%"",,479,73,""7,8%"",""18,9"",,699,102,""7,4%"",""27,6"",,97,34,""17,8%"",""3,8"",,960,111,""5,9%"",""37,9"",,2.123,64,""1,5%"",""83,7"",,2.331,43,""0,9%"",""91,9"",,1.148,76,""3,4%"",""45,3"",,244 ,""41,4"",""8,7%"",""9,6"",,2.087,54,""1,3%"",""82,3"",,143,29,""10,3%"",""5,6"",,1.947,59,""1,5%"",""76,8"",,3,3,""56,6%"",""0,1"""
",,MUJER,2.826 ,23,""0,4%"",,478,69,""7,4%"",""16,9"",,755,89,""6,0%"",""26,7"",,124,32,""13,4%"",""4,4"",,1.024,101,""5,1%"",""36,2"",,2.366,47,""1,0%"",""83,712"",,2.633,39,""0,8%"",""93,2"",,1.295,86,""3,4%"",""45,8"",,225 ,""33,2"",""7,5%"",""8,0"",,2.409,39,""0,8%"",""85,2"",,138,26,""9,7%"",""4,9"",,2.271,45,""1,0%"",""80,4"",,0,0,.,-"
",CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,1.253 ,12,""0,5%"",,176,20,""5,7%"",""14,0"",,115,17,""7,4%"",""9,2"",,36,9,""12,2%"",""2,9"",,248,22,""4,5%"",""19,8"",,862,27,""1,6%"",""68,7"",,1.123,18,""0,8%"",""89,6"",,633,33,""2,7%"",""50,5"",,223 ,""18,1"",""4,1%"",""17,8"",,901,16,""0,9%"",""71,9"",,135,13,""4,8%"",""10,7"",,768,19,""1,3%"",""61,3"",,2,2,""48,9%"",""0,2"""
",,HOMBRE,653 ,8,""0,6%"",,90,12,""6,9%"",""13,8"",,57,10,""8,9%"",""8,8"",,21,6,""14,1%"",""3,3"",,126,14,""5,6%"",""19,3"",,438,17,""1,9%"",""67,1"",,581,12,""1,0%"",""89,1"",,330,21,""3,2%"",""50,5"",,119 ,""12,9"",""5,6%"",""18,2"",,462,11,""1,2%"",""70,8"",,80,9,""5,6%"",""12,3"",,384,12,""1,7%"",""58,8"",,2,2,""58,6%"",""0,2"""
",,MUJER,601 ,8,""0,7%"",,86,12,""6,8%"",""14,3"",,58,10,""8,5%"",""9,6"",,15,5,""16,7%"",""2,5"",,122,13,""5,5%"",""20,3"",,423,15,""1,8%"",""70,5"",,542,11,""1,0%"",""90,3"",,303,17,""2,8%"",""50,5"",,104 ,""11,0"",""5,4%"",""17,3"",,438,10,""1,1%"",""73,0"",,55,6,""6,0%"",""9,1"",,384,12,""1,5%"",""63,9"",,0,1,""73,4%"",""0,1"""
"ARAUCA,TOTAL,TOTAL,282 ,2,""0,4%"",,48,5,""5,1%"",""16,9"",,33,5,""7,1%"",""11,6"",,6,2,""15,6%"",""2,2"",,61,5,""4,6%"",""21,7"",,186,6,""1,7%"",""66,0"",,249,4,""0,8%"",""88,2"",,154,8,""2,6%"",""54,5"",,46 ,""3,0"",""3,4%"",""16,2"",,203,3,""0,9%"",""72,0"",,39,3,""4,1%"",""14,0"",,163,5,""1,4%"",""58,0"",,0,0,.,-"
",,HOMBRE,142 ,2,""0,6%"",,24,3,""5,9%"",""16,9"",,16,2,""7,7%"",""11,5"",,3,1,""18,8%"",""2,4"",,30,3,""5,3%"",""21,1"",,90,3,""2,0%"",""63,4"",,125,2,""1,0%"",""87,8"",,79,4,""2,8%"",""55,5"",,25 ,""2,4"",""4,9%"",""17,6"",,100,2,""1,1%"",""70,2"",,23,2,""4,4%"",""16,5"",,76,3,""1,8%"",""53,7"",,0,0,.,-"
",,MUJER,140 ,2,""0,6%"",,24,3,""5,6%"",""16,9"",,16,3,""8,5%"",""11,8"",,3,1,""17,4%"",""2,0"",,31,3,""5,1%"",""22,3"",,96,4,""1,9%"",""68,8"",,124,2,""1,0%"",""88,6"",,75,4,""2,9%"",""53,5"",,21 ,""2,1"",""5,2%"",""14,8"",,103,2,""1,1%"",""73,8"",,16,2,""5,6%"",""11,4"",,87,3,""1,7%"",""62,4"",,0,0,.,-"
